id,talep_metni,talep_turu,birim,modul,surec_talep_tipi,oncelik
T-1475,"Kalite paylaşımlı sürücüsüne erişemiyorum, izin verilmesi gerekiyor.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Sistem/Klasör Yetki Talebi,Orta
T-1476,Mavi Tedarik A.Ş. firmasının FTR-2026-0862 numaralı faturası ödendi mi?,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Fatura Ödeme Takibi,Düşük
T-1477,servis güzergahı değişti mi bilgim yok,Bilgi Talebi (Information),İdari İşler,Güvenlik & Ulaşım,Servis Güzergah Talebi,Orta
T-1478,Yeni açılan İzmir Ofis ofisi için 5 adet masaüstü bilgisayar kurulumu talep ediyoruz.,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Donanım,Yeni Ekipman Kurulumu,Düşük
T-1479,SGK için hizmet dökümü belgesi rica ederim.,Hizmet Talebi (Service Request),İnsan Kaynakları,Bordro & Özlük,Özlük/Çalışma Belgesi Talebi,Düşük
T-1480,wifi sürekli kopuyor toplantıda rezil oldum,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Sorunu,Düşük
T-1481,"Fatma için Power BI lisansı gerekiyor, yöneticim Fatma onayladı.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Yazılım,Yazılım Lisans/Kurulum Talebi,Orta
T-1482,2. kat koridorundaki lambalar sürekli yanıp sönüyor.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arızası,Orta
T-1483,"Excel dosyam açılmıyor 'bozuk dosya' hatası veriyor, Kalite.",Arıza (Incident),Bilgi Teknolojileri,Yazılım,Uygulama Hatası (Outlook/Teams/Excel vb.),Orta
T-1484,ergonomik sandalye talep ediyorum bel ağrım var,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Ofis Mobilya Değişimi,Orta
T-1485,"İnternet 15:45'den beri tamamen kesik, 2. kat, Ankara Şube.",Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Düşük
T-1486,izin bakiyem ne kadar,Bilgi Talebi (Information),İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi/Bakiye Sorgulama,Düşük
T-1487,siyah toner tükendi renkli hala var,Hizmet Talebi (Service Request),İdari İşler,Ofis Ekipmanı,Toner/Kartuş Talebi,Düşük
T-1488,yazıcı kağıdı bitti yenisi lazım,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Kırtasiye Malzeme Talebi,Düşük
T-1489,Ar-Ge Binası ofisindeki tüm sistemler 10:30'den beri erişilemez durumda.,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Sunucu/Servis Kesintisi,Kritik
T-1490,3. kat klima çok gürültü yapıyor rahatsız ediyor.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Klima/Isıtma Arızası,Yüksek
T-1491,"Barış kartını dün Gebze Fabrika yakınında kaybetmiş, yeni kart lazım.",Hizmet Talebi (Service Request),İdari İşler,Güvenlik & Ulaşım,Kayıp Giriş Kartı,Yüksek
T-1492,fotokopi makinesi tarama yapmıyor,Arıza (Incident),İdari İşler,Ofis Ekipmanı,Yazıcı/Fotokopi Arıza Bildirimi,Orta
T-1493,yeni personel için mail adresi açılsın,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Yeni Kullanıcı Hesabı,Düşük
T-1494,izin talebimi yanlış girmişim düzeltilmesi gerekiyor,Hizmet Talebi (Service Request),İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik,Orta
T-1495,rapor çekmeye çalışırken sistem çok yavaş yanıt veriyor bazen hiç açılmıyor,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Veritabanı Erişim Hatası,Orta
T-1496,mouse'um kablosuz ama bağlanmıyor pil değiştirdim olmadı.,Arıza (Incident),Bilgi Teknolojileri,Donanım,Monitör/Çevre Birimi Arızası,Orta
T-1497,bilgisayarım açılmıyor mavi ekran verdi,Arıza (Incident),Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım,Orta
T-1498,evden çalışırken vpn bağlanmıyor acil,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Orta
T-1499,şifremi unuttum giremiyorum acil,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Şifre Sıfırlama,Yüksek
T-1500,2.250 TL avans talep ediyorum 30 Ağustos seyahati için.,Hizmet Talebi (Service Request),Finans,Masraf & Ödeme,Avans Talebi,Orta
T-1501,geçen haftaki seyahat masraflarımın onayı bekliyor ne zaman geçer acaba,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Masraf/Harcama Formu Onayı,Düşük
T-1502,CRM'de sadece görüntüleme yetkim var düzenleme yetkisi de gerekiyor.,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Sistem/Klasör Yetki Talebi,Orta
T-1503,Kaya Danışmanlık firmasının FTR-2026-0761 numaralı faturası ödendi mi?,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Fatura Ödeme Takibi,Orta
T-1504,servis güzergahı değişti mi bilgim yok,Bilgi Talebi (Information),İdari İşler,Güvenlik & Ulaşım,Servis Güzergah Talebi,Düşük
T-1505,stajyer için bilgisayar lazım 3 Ekim,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Donanım,Yeni Ekipman Kurulumu,Düşük
T-1506,banka için çalışma belgesi lazım acil,Hizmet Talebi (Service Request),İnsan Kaynakları,Bordro & Özlük,Özlük/Çalışma Belgesi Talebi,Düşük
T-1507,Kocaeli Depo kafeterya alanında wifi sinyali çok zayıf.,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Sorunu,Orta
T-1508,"Yeni bilgisayarıma Office kurulumu yapılmamış, kurulabilir mi?",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Yazılım,Yazılım Lisans/Kurulum Talebi,Orta
T-1509,prizler çalışmıyor şarj olmuyor bilgisayarım,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arızası,Yüksek
T-1510,teams'e giriş yapamıyorum sürekli 'bağlantı sorunu' diyor.,Arıza (Incident),Bilgi Teknolojileri,Yazılım,Uygulama Hatası (Outlook/Teams/Excel vb.),Düşük
T-1511,sandalyem bozuldu sırt kısmı kırıldı değişmesi lazım,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Ofis Mobilya Değişimi,Düşük
T-1512,internet gitti geldi yapıyor tüm katta,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Düşük
T-1513,1 Ekim için izin almak istiyorum yeterli günüm var mı acaba?,Bilgi Talebi (Information),İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi/Bakiye Sorgulama,Orta
T-1514,toner bitti acil 5. kat,Hizmet Talebi (Service Request),İdari İşler,Ofis Ekipmanı,Toner/Kartuş Talebi,Düşük
T-1515,beyaz tahta kalemi bitti,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Kırtasiye Malzeme Talebi,Düşük
T-1516,ERP sistemi çöktü kimse giriş yapamıyor tüm şirkette!,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Sunucu/Servis Kesintisi,Yüksek
T-1517,kalorifer çalışmıyor çok soğuk ofiste,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Klima/Isıtma Arızası,Düşük
T-1518,"Ahmet kartını dün Ankara Şube yakınında kaybetmiş, yeni kart lazım.",Hizmet Talebi (Service Request),İdari İşler,Güvenlik & Ulaşım,Kayıp Giriş Kartı,Orta
T-1519,yazıcı kağıt sıkıştırdı basmıyor,Arıza (Incident),İdari İşler,Ofis Ekipmanı,Yazıcı/Fotokopi Arıza Bildirimi,Düşük
T-1520,Danışman arkadaşımız için geçici erişim hesabı oluşturulmasını rica ederim.,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Yeni Kullanıcı Hesabı,Düşük
T-1521,izin talebimi yanlış girmişim düzeltilmesi gerekiyor,Hizmet Talebi (Service Request),İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik,Düşük
T-1522,veritabanına bağlanamıyorum 0xC0000005,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Veritabanı Erişim Hatası,Düşük
T-1523,klavyeden bazı harfler çıkmıyor değişmesi lazım,Arıza (Incident),Bilgi Teknolojileri,Donanım,Monitör/Çevre Birimi Arızası,Düşük
T-1524,"Merhaba, 20 Eylül tarihinden beri bilgisayarım rastgele kapanıyor, fan sesi de çok yüksek geliyor, Levent Ofis'da çalışıyorum.",Arıza (Incident),Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım,Orta
T-1525,evden çalışırken vpn bağlanmıyor acil,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Düşük
T-1526,SAP şifremi unuttum yenilenebilir mi?,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Şifre Sıfırlama,Orta
T-1527,müşteri ziyareti için nakit avans lazım,Hizmet Talebi (Service Request),Finans,Masraf & Ödeme,Avans Talebi,Düşük
T-1528,masraf formunu yanlış doldurmuşum düzeltebilir miyim,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Masraf/Harcama Formu Onayı,Orta
T-1529,"Hukuk paylaşımlı sürücüsüne erişemiyorum, izin verilmesi gerekiyor.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Sistem/Klasör Yetki Talebi,Düşük
T-1530,fatura ödemesi neden gecikti,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Fatura Ödeme Takibi,Orta
T-1531,"Ankara Şube güzergahına yeni durak eklenmesini talep ediyorum, Merve.",Bilgi Talebi (Information),İdari İşler,Güvenlik & Ulaşım,Servis Güzergah Talebi,Düşük
T-1532,stajyer için bilgisayar lazım 3 Ekim,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Donanım,Yeni Ekipman Kurulumu,Düşük
T-1533,banka için çalışma belgesi lazım acil,Hizmet Talebi (Service Request),İnsan Kaynakları,Bordro & Özlük,Özlük/Çalışma Belgesi Talebi,Düşük
T-1534,İstanbul Merkez Ofis kafeterya alanında wifi sinyali çok zayıf.,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Sorunu,Düşük
T-1535,lisansımın süresi doldu yenilenmesi lazım,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Yazılım,Yazılım Lisans/Kurulum Talebi,Orta
T-1536,toplantı odasının ışığı hiç yanmıyor 2 Ekim'ten beri.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arızası,Orta
T-1537,"Excel dosyam açılmıyor 'bozuk dosya' hatası veriyor, Üretim.",Arıza (Incident),Bilgi Teknolojileri,Yazılım,Uygulama Hatası (Outlook/Teams/Excel vb.),Düşük
T-1538,masamın çekmecesi kilitleniyor açılmıyor,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Ofis Mobilya Değişimi,Orta
T-1539,internet gitti geldi yapıyor tüm katta,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Orta
T-1540,yıllık izin ne kadar kaldı bilmiyorum,Bilgi Talebi (Information),İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi/Bakiye Sorgulama,Düşük
T-1541,"HP LaserJet yazıcı için kartuş talep ediyoruz, Pazarlama.",Hizmet Talebi (Service Request),İdari İşler,Ofis Ekipmanı,Toner/Kartuş Talebi,Düşük
T-1542,yazıcı kağıdı bitti yenisi lazım,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Kırtasiye Malzeme Talebi,Orta
T-1543,sunucu yanıtı vermiyor tüm sistem yavaş,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Sunucu/Servis Kesintisi,Kritik
T-1544,toplantı odasının klimasından su damlıyor.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Klima/Isıtma Arızası,Düşük
T-1545,giriş kartımı kaybettim yenisini nasıl çıkartabilirim,Hizmet Talebi (Service Request),İdari İşler,Güvenlik & Ulaşım,Kayıp Giriş Kartı,Orta
T-1546,fotokopi makinesi tarama yapmıyor,Arıza (Incident),İdari İşler,Ofis Ekipmanı,Yazıcı/Fotokopi Arıza Bildirimi,Orta
T-1547,"Ayşe 12 Eylül'te Hukuk'da işe başlıyor, hesabının hazır olması lazım.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Yeni Kullanıcı Hesabı,Orta
T-1548,10 Eylül tarihindeki iznimi iptal etmek istiyorum.,Hizmet Talebi (Service Request),İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik,Düşük
T-1549,raporlama ekranında veritabanı bağlantı hatası alıyorum 'connection timeout' diyor,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Veritabanı Erişim Hatası,Düşük
T-1550,kulaklık ses vermiyor teams toplantılarında sorun yaşıyorum,Arıza (Incident),Bilgi Teknolojileri,Donanım,Monitör/Çevre Birimi Arızası,Orta
T-1551,bilgisayar donuyor sürekli,Arıza (Incident),Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım,Orta
T-1552,"Yeni cihazımda VPN kurulumu yapılmamış, bağlanmaya çalışınca 'sertifika hatası' alıyorum.",Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Düşük
T-1553,şifremi unuttum giremiyorum acil,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Şifre Sıfırlama,Yüksek
T-1554,müşteri ziyareti için nakit avans lazım,Hizmet Talebi (Service Request),Finans,Masraf & Ödeme,Avans Talebi,Orta
T-1555,750 TL tutarındaki harcama formum 11 gündür beklemede.,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Masraf/Harcama Formu Onayı,Düşük
T-1556,SAP'de yeni modül yetkisi lazım Elif onayladı.,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Sistem/Klasör Yetki Talebi,Düşük
T-1557,fatura ödemesi neden gecikti,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Fatura Ödeme Takibi,Düşük
T-1558,"Ankara Şube güzergahına yeni durak eklenmesini talep ediyorum, Tolga.",Bilgi Talebi (Information),İdari İşler,Güvenlik & Ulaşım,Servis Güzergah Talebi,Orta
T-1559,stajyer için bilgisayar lazım 1 Ekim,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Donanım,Yeni Ekipman Kurulumu,Orta
T-1560,vize için şirket yazısı lazım,Hizmet Talebi (Service Request),İnsan Kaynakları,Bordro & Özlük,Özlük/Çalışma Belgesi Talebi,Düşük
T-1561,toplantı odasında wifi çok yavaş bağlanmıyor bazen,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Sorunu,Düşük
T-1562,lisansımın süresi doldu yenilenmesi lazım,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Yazılım,Yazılım Lisans/Kurulum Talebi,Orta
T-1563,5. kat koridorundaki lambalar sürekli yanıp sönüyor.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arızası,Yüksek
T-1564,"Excel dosyam açılmıyor 'bozuk dosya' hatası veriyor, Lojistik.",Arıza (Incident),Bilgi Teknolojileri,Yazılım,Uygulama Hatası (Outlook/Teams/Excel vb.),Orta
T-1565,7. kat'daki ofis sandalyesi çok yıpranmış değişmesi gerekiyor.,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Ofis Mobilya Değişimi,Düşük
T-1566,"Bağlantım sürekli düşüyor, video konferans yaparken kopmalar oluyor, Hukuk.",Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Orta
T-1567,izin bakiyem ne kadar,Bilgi Talebi (Information),İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi/Bakiye Sorgulama,Orta
T-1568,7. kat yazıcının toneri bitti yenisi lazım,Hizmet Talebi (Service Request),İdari İşler,Ofis Ekipmanı,Toner/Kartuş Talebi,Orta
T-1569,"Satış için dosya, zımba teli ve post-it talep ediyoruz.",Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Kırtasiye Malzeme Talebi,Düşük
T-1570,ERP sistemi çöktü kimse giriş yapamıyor tüm şirkette!,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Sunucu/Servis Kesintisi,Yüksek
T-1571,toplantı odasının klimasından su damlıyor.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Klima/Isıtma Arızası,Düşük
T-1572,kartım çalındı sanırım turnikeden geçemiyorum,Hizmet Talebi (Service Request),İdari İşler,Güvenlik & Ulaşım,Kayıp Giriş Kartı,Orta
T-1573,"7. kat yazıcısı çıktı alırken çizgili basıyor, Ricoh MP.",Arıza (Incident),İdari İşler,Ofis Ekipmanı,Yazıcı/Fotokopi Arıza Bildirimi,Orta
T-1574,yeni personel için mail adresi açılsın,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Yeni Kullanıcı Hesabı,Düşük
T-1575,"geçen hafta girdiğim izin talebini iptal etmem gerekiyor, planlar değişti",Hizmet Talebi (Service Request),İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik,Düşük
T-1576,veritabanına bağlanamıyorum Error 1053,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Veritabanı Erişim Hatası,Düşük
T-1577,kulaklık ses vermiyor teams toplantılarında sorun yaşıyorum,Arıza (Incident),Bilgi Teknolojileri,Donanım,Monitör/Çevre Birimi Arızası,Orta
T-1578,bilgisayar donuyor sürekli,Arıza (Incident),Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım,Orta
T-1579,VPN bağlanamıyorum evden şirket ağına bağlanmaya çalışıyorum hata veriyor.,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Düşük
T-1580,"Yeni işe başladım ama giriş bilgilerim çalışmıyor, 1 Ekim'te başladım.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Şifre Sıfırlama,Orta
T-1581,1.200 TL avans talep ediyorum 28 Ağustos seyahati için.,Hizmet Talebi (Service Request),Finans,Masraf & Ödeme,Avans Talebi,Düşük
T-1582,masraf formunu yanlış doldurmuşum düzeltebilir miyim,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Masraf/Harcama Formu Onayı,Düşük
T-1583,proje klasörüne erişimim yok yeni katıldığım için,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Sistem/Klasör Yetki Talebi,Düşük
T-1584,tedarikçimize kestiğimiz faturanın ödemesi yapıldı mı öğrenebilir miyim,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Fatura Ödeme Takibi,Düşük
T-1585,servis güzergahı değişti mi bilgim yok,Bilgi Talebi (Information),İdari İşler,Güvenlik & Ulaşım,Servis Güzergah Talebi,Düşük
T-1586,"İkinci monitör talep ediyorum, ekran paylaşımı için ihtiyacım var, Muhasebe.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Donanım,Yeni Ekipman Kurulumu,Düşük
T-1587,SGK için hizmet dökümü belgesi rica ederim.,Hizmet Talebi (Service Request),İnsan Kaynakları,Bordro & Özlük,Özlük/Çalışma Belgesi Talebi,Düşük
T-1588,wifi sürekli kopuyor toplantıda rezil oldum,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Sorunu,Orta
T-1589,"Bloomberg Terminal kurulumu talep ediyorum, Lojistik projeleri için gerekli.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Yazılım,Yazılım Lisans/Kurulum Talebi,Düşük
T-1590,toplantı odasının ışığı hiç yanmıyor 10 Eylül'ten beri.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arızası,Düşük
T-1591,outlook takvim senkronize olmuyor toplantılarım görünmüyor,Arıza (Incident),Bilgi Teknolojileri,Yazılım,Uygulama Hatası (Outlook/Teams/Excel vb.),Orta
T-1592,sandalyem bozuldu sırt kısmı kırıldı değişmesi lazım,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Ofis Mobilya Değişimi,Düşük
T-1593,internet gitti geldi yapıyor tüm katta,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Düşük
T-1594,30 Ağustos için izin almak istiyorum yeterli günüm var mı acaba?,Bilgi Talebi (Information),İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi/Bakiye Sorgulama,Düşük
T-1595,4. kat yazıcının toneri bitti yenisi lazım,Hizmet Talebi (Service Request),İdari İşler,Ofis Ekipmanı,Toner/Kartuş Talebi,Düşük
T-1596,beyaz tahta kalemi bitti,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Kırtasiye Malzeme Talebi,Orta
T-1597,ERP sistemi çöktü kimse giriş yapamıyor tüm şirkette!,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Sunucu/Servis Kesintisi,Yüksek
T-1598,toplantı odasının klimasından su damlıyor.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Klima/Isıtma Arızası,Yüksek
T-1599,kartımı kaybettim binaya giremiyorum acil,Hizmet Talebi (Service Request),İdari İşler,Güvenlik & Ulaşım,Kayıp Giriş Kartı,Orta
T-1600,"zemin kat yazıcısı çıktı alırken çizgili basıyor, Canon imageRunner.",Arıza (Incident),İdari İşler,Ofis Ekipmanı,Yazıcı/Fotokopi Arıza Bildirimi,Orta
T-1601,Yeni stajyerimiz için AD kullanıcı hesabı ve mail adresi açılması gerekiyor.,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Yeni Kullanıcı Hesabı,Orta
T-1602,izin talebimi yanlış girmişim düzeltilmesi gerekiyor,Hizmet Talebi (Service Request),İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik,Orta
T-1603,rapor çekmeye çalışırken sistem çok yavaş yanıt veriyor bazen hiç açılmıyor,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Veritabanı Erişim Hatası,Düşük
T-1604,mouse'um kablosuz ama bağlanmıyor pil değiştirdim olmadı.,Arıza (Incident),Bilgi Teknolojileri,Donanım,Monitör/Çevre Birimi Arızası,Yüksek
T-1605,bilgisayar donuyor sürekli,Arıza (Incident),Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım,Yüksek
T-1606,"Yeni cihazımda VPN kurulumu yapılmamış, bağlanmaya çalışınca 'sertifika hatası' alıyorum.",Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Düşük
T-1607,"Hesabım kilitlendi, çok kez yanlış şifre girdim, Ayşe.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Şifre Sıfırlama,Orta
T-1608,iş seyahati öncesi avans almam gerekiyor,Hizmet Talebi (Service Request),Finans,Masraf & Ödeme,Avans Talebi,Orta
T-1609,1.500 TL tutarındaki harcama formum 11 gündür beklemede.,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Masraf/Harcama Formu Onayı,Düşük
T-1610,proje klasörüne erişimim yok yeni katıldığım için,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Sistem/Klasör Yetki Talebi,Orta
T-1611,fatura ödemesi neden gecikti,Bilgi Talebi (Information),Finans,Masraf & Ödeme,Fatura Ödeme Takibi,Düşük
T-1612,servis güzergahı değişti mi bilgim yok,Bilgi Talebi (Information),İdari İşler,Güvenlik & Ulaşım,Servis Güzergah Talebi,Orta
T-1613,"yöneticim onayladı, yeni bir dizüstü bilgisayara ihtiyacım var mevcut cihazım çok eski kaldı.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Donanım,Yeni Ekipman Kurulumu,Düşük
T-1614,vize için şirket yazısı lazım,Hizmet Talebi (Service Request),İnsan Kaynakları,Bordro & Özlük,Özlük/Çalışma Belgesi Talebi,Düşük
T-1615,toplantı odasında wifi çok yavaş bağlanmıyor bazen,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Sorunu,Düşük
T-1616,pdf editör programı kurulmasını rica ederim,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Yazılım,Yazılım Lisans/Kurulum Talebi,Düşük
T-1617,prizler çalışmıyor şarj olmuyor bilgisayarım,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arızası,Orta
T-1618,outlook takvim senkronize olmuyor toplantılarım görünmüyor,Arıza (Incident),Bilgi Teknolojileri,Yazılım,Uygulama Hatası (Outlook/Teams/Excel vb.),Düşük
T-1619,ergonomik sandalye talep ediyorum bel ağrım var,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Ofis Mobilya Değişimi,Düşük
T-1620,internet yok,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Orta
T-1621,kaç gün izin hakkım kaldı öğrenmek istiyorum,Bilgi Talebi (Information),İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi/Bakiye Sorgulama,Düşük
T-1622,Yazıcının toneri bitti acil 4. kat,Hizmet Talebi (Service Request),İdari İşler,Ofis Ekipmanı,Toner/Kartuş Talebi,Düşük
T-1623,kalem defter A4 kağıt lazım departmanımıza,Hizmet Talebi (Service Request),İdari İşler,Satınalma/Malzeme,Kırtasiye Malzeme Talebi,Düşük
T-1624,sunucu yanıtı vermiyor tüm sistem yavaş,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Sunucu/Servis Kesintisi,Yüksek
T-1625,5. kat klima çok gürültü yapıyor rahatsız ediyor.,Arıza (Incident),İdari İşler,Bina/Tesis Bakım,Klima/Isıtma Arızası,Yüksek
T-1626,kartımı kaybettim binaya giremiyorum acil,Hizmet Talebi (Service Request),İdari İşler,Güvenlik & Ulaşım,Kayıp Giriş Kartı,Orta
T-1627,"Yazıcının rengi soluk çıkıyor, kartuş değişmesi gerekebilir.",Arıza (Incident),İdari İşler,Ofis Ekipmanı,Yazıcı/Fotokopi Arıza Bildirimi,Yüksek
T-1628,"Tolga 12 Eylül'te Müşteri Hizmetleri'da işe başlıyor, hesabının hazır olması lazım.",Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Yeni Kullanıcı Hesabı,Düşük
T-1629,izin talebimi yanlış girmişim düzeltilmesi gerekiyor,Hizmet Talebi (Service Request),İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik,Düşük
T-1630,CRM raporları veritabanı hatası veriyor 13:00'den beri.,Arıza (Incident),Bilgi Teknolojileri,Sunucu/Sistem,Veritabanı Erişim Hatası,Düşük
T-1631,yazıcıya bağlı tarayıcı çalışmıyor tarama yapamıyorum,Arıza (Incident),Bilgi Teknolojileri,Donanım,Monitör/Çevre Birimi Arızası,Orta
T-1632,"Klavyem çalışmıyor bazı tuşlar basınca yazmıyor, Finans.",Arıza (Incident),Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım,Orta
T-1633,vpn hata veriyor Error 1053,Arıza (Incident),Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Düşük
T-1634,SAP şifremi unuttum yenilenebilir mi?,Hizmet Talebi (Service Request),Bilgi Teknolojileri,Güvenlik ve Erişim,Şifre Sıfırlama,Orta
